R,G,B,X,Y
0.670588235,0.8,0.82745098,0.020833333,0.8671875
0.670588235,0.8,0.82745098,0.020833333,0.875
0.662745098,0.8,0.815686275,0.020833333,0.8828125
0.662745098,0.8,0.815686275,0.020833333,0.890625
0.666666667,0.803921569,0.819607843,0.020833333,0.8984375
0.666666667,0.803921569,0.819607843,0.020833333,0.90625
0.670588235,0.807843137,0.823529412,0.020833333,0.9140625
0.670588235,0.807843137,0.823529412,0.020833333,0.921875
0.674509804,0.803921569,0.823529412,0.020833333,0.9296875
0.674509804,0.803921569,0.823529412,0.020833333,0.9375
0.68627451,0.807843137,0.82745098,0.020833333,0.9453125
0.690196078,0.811764706,0.831372549,0.020833333,0.953125
0.690196078,0.811764706,0.831372549,0.020833333,0.9609375
0.694117647,0.815686275,0.835294118,0.020833333,0.96875
0.701960784,0.815686275,0.839215686,0.020833333,0.9765625
0.705882353,0.819607843,0.843137255,0.020833333,0.984375
0.705882353,0.819607843,0.843137255,0.020833333,0.9921875
0.705882353,0.819607843,0.843137255,0.020833333,1
0.556862745,0.705882353,0.796078431,0.03125,0.0078125
0.560784314,0.709803922,0.8,0.03125,0.015625
0.568627451,0.717647059,0.807843137,0.03125,0.0234375
0.576470588,0.725490196,0.815686275,0.03125,0.03125
0.584313725,0.733333333,0.823529412,0.03125,0.0390625
0.584313725,0.733333333,0.823529412,0.03125,0.046875
0.580392157,0.729411765,0.819607843,0.03125,0.0546875
0.580392157,0.729411765,0.819607843,0.03125,0.0625
0.57254902,0.721568627,0.811764706,0.03125,0.0703125
0.57254902,0.721568627,0.811764706,0.03125,0.078125
0.57254902,0.721568627,0.811764706,0.03125,0.0859375
0.57254902,0.721568627,0.811764706,0.03125,0.09375
0.57254902,0.721568627,0.811764706,0.03125,0.1015625
0.57254902,0.721568627,0.811764706,0.03125,0.109375
0.57254902,0.721568627,0.811764706,0.03125,0.1171875
0.57254902,0.721568627,0.811764706,0.03125,0.125
0.57254902,0.733333333,0.819607843,0.03125,0.1328125
